View_ID,User_ID,Show_ID,Watch_Date,Watch_Time_Minutes,Completed,Device
V00085,U0716,S134,2023-02-21,139,Yes,Mobile
V00086,U0617,S281,2023-06-30,93,No,Tablet
V00087,U0781,S027,2023-12-22,174,Yes,TV
V00088,U0657,S070,2023-11-19,10,No,Tablet
V00089,U0322,S295,2023-04-13,31,No,Mobile
V00090,U0529,S067,2023-03-22,162,Yes,Tablet
V00091,U0490,S069,2023-06-13,76,No,TV
V00092,U0289,S102,2023-12-18,31,No,Tablet
V00093,U0403,S194,2023-07-08,156,Yes,TV
V00094,U0572,S118,2023-01-11,32,Yes,Tablet
V00095,U0719,S087,2023-04-12,22,No,Tablet
V00096,U0615,S134,2023-11-13,48,No,Mobile
V00097,U0581,S061,2023-07-08,13,Yes,Tablet
V00098,U0122,S115,2023-08-21,62,No,TV
V00099,U0765,S254,2023-05-17,107,No,TV
V00100,U0615,S111,2023-08-09,82,Yes,TV
V00101,U0419,S075,2023-08-03,17,Yes,Laptop
V00102,U0633,S231,2023-05-15,73,Yes,Laptop
V00103,U0088,S006,2023-10-26,130,No,TV
V00104,U0704,S109,2023-06-15,108,No,Tablet
V00105,U0075,S049,2023-11-02,152,No,Mobile
V00106,U0241,S242,2023-01-27,100,No,Mobile
V00107,U0517,S196,2023-01-03,87,No,Tablet
V00108,U0136,S287,2023-12-10,20,No,TV
V00109,U0516,S253,2023-05-14,96,Yes,Tablet
V00110,U0325,S272,2023-03-09,120,Yes,TV
V00111,U0321,S023,2023-05-14,42,Yes,Tablet
V00112,U0441,S145,2023-05-24,77,No,Laptop
V00113,U0447,S085,2023-09-22,90,No,Tablet
V00114,U0055,S097,2023-03-19,48,No,Mobile
V00115,U0037,S241,2023-04-28,76,Yes,TV
V00116,U0447,S060,2023-12-28,136,No,Mobile
V00117,U0727,S288,2023-08-15,134,No,Tablet
V00118,U0738,S076,2023-09-10,41,Yes,Laptop
V00119,U0291,S093,2023-02-17,53,Yes,Laptop
V00120,U0598,S003,2023-10-16,144,Yes,TV
V00121,U0253,S256,2023-08-02,34,Yes,Laptop
V00122,U0698,S063,2023-01-14,110,No,Laptop
V00123,U0332,S079,2023-10-30,17,Yes,Mobile
V00124,U0465,S138,2023-08-24,162,No,Mobile
V00125,U0672,S232,2023-06-18,93,Yes,TV
V00126,U0660,S145,2023-04-19,92,Yes,Mobile
V00127,U0095,S205,2023-02-06,75,No,TV
V00128,U0092,S011,2023-05-03,63,No,TV
V00129,U0292,S079,2023-07-18,40,No,Laptop
V00130,U0754,S159,2023-09-09,164,No,TV
V00131,U0377,S263,2023-07-03,61,Yes,Tablet
V00132,U0488,S138,2023-08-17,154,No,Tablet
V00133,U0378,S096,2023-02-16,121,No,Tablet
V00134,U0526,S175,2023-02-17,128,Yes,TV
V00135,U0508,S270,2023-11-28,171,Yes,Mobile
V00136,U0448,S041,2023-05-29,132,No,Laptop
V00137,U0701,S154,2023-03-18,73,Yes,Tablet
V00138,U0565,S040,2023-06-01,21,Yes,Mobile
V00139,U0423,S049,2023-09-19,128,No,Laptop
V00140,U0600,S042,2023-07-01,138,No,Mobile
V00141,U0184,S094,2023-02-28,110,No,Mobile
V00142,U0722,S153,2023-02-12,90,No,Tablet
V00143,U0639,S136,2023-12-10,97,No,TV
V00144,U0081,S133,2023-04-19,37,Yes,Tablet
V00145,U0006,S203,2023-10-01,39,Yes,Mobile
V00146,U0472,S208,2023-03-29,178,No,Tablet
V00147,U0708,S203,2023-06-05,87,No,Mobile
V00148,U0015,S098,2023-03-06,38,Yes,Mobile
V00149,U0028,S108,2023-12-23,133,Yes,TV
V00150,U0447,S276,2023-11-29,58,Yes,Mobile
V00151,U0152,S243,2023-06-04,118,No,Mobile
V00152,U0157,S228,2023-03-01,134,Yes,Tablet
V00153,U0600,S125,2023-01-11,61,No,Laptop
V00154,U0053,S171,2023-10-19,12,No,Mobile
V00155,U0426,S254,2023-11-19,158,No,Laptop
V00156,U0410,S249,2023-01-19,141,No,Tablet
V00157,U0541,S010,2023-04-29,118,Yes,Laptop
V00158,U0275,S214,2023-10-11,131,Yes,Mobile
V00159,U0460,S224,2023-09-11,15,No,TV
V00160,U0481,S177,2023-05-28,122,Yes,TV
V00161,U0602,S174,2023-09-17,164,Yes,Tablet
V00162,U0741,S200,2023-03-09,116,No,Laptop
V00163,U0637,S107,2023-08-30,82,Yes,Mobile
V00164,U0133,S089,2023-12-08,61,No,TV
V00165,U0104,S213,2023-11-07,136,No,Laptop
V00166,U0571,S025,2023-05-01,14,Yes,Laptop
V00167,U0694,S082,2023-05-14,54,No,Mobile
V00168,U0441,S059,2023-02-02,168,No,TV
V00169,U0499,S133,2023-03-03,97,Yes,Laptop
V00170,U0155,S264,2023-01-24,164,No,Mobile
V00171,U0449,S235,2023-12-28,38,Yes,Mobile
V00172,U0576,S022,2023-11-09,139,Yes,Mobile
V00173,U0211,S186,2023-03-27,50,Yes,Laptop
V00174,U0781,S260,2023-12-29,137,No,Mobile
V00175,U0343,S071,2023-03-20,41,No,TV
V00176,U0788,S004,2023-08-13,72,No,Tablet
V00177,U0518,S088,2023-06-24,31,No,Laptop
V00178,U0370,S126,2023-07-10,48,No,Tablet
V00179,U0440,S212,2023-04-27,114,Yes,Tablet
V00180,U0031,S227,2023-09-22,47,No,Mobile
V00181,U0087,S174,2023-09-22,90,Yes,Tablet
V00182,U0063,S202,2023-03-26,19,No,TV
V00183,U0647,S267,2023-10-22,85,Yes,Tablet
V00184,U0739,S161,2023-07-25,98,No,Mobile
V00185,U0718,S207,2023-05-24,124,Yes,TV
V00186,U0715,S177,2023-10-06,176,No,Tablet
V00187,U0087,S019,2023-04-12,147,No,Laptop
V00188,U0533,S277,2023-07-19,82,Yes,TV
V00189,U0534,S175,2023-02-17,172,No,TV
V00190,U0553,S133,2023-01-12,71,Yes,Laptop
V00191,U0750,S031,2023-08-05,105,Yes,Laptop
V00192,U0127,S025,2023-11-18,176,No,Mobile
V00193,U0587,S003,2023-08-18,126,No,Laptop
V00194,U0359,S154,2023-05-01,82,Yes,TV
V00195,U0533,S127,2024-01-01,36,No,Laptop
V00196,U0798,S185,2023-09-22,126,Yes,Mobile
V00197,U0422,S042,2023-03-17,33,No,Mobile
V00198,U0488,S110,2023-08-06,124,Yes,Mobile
V00199,U0603,S287,2023-07-09,142,No,Tablet
V00200,U0652,S217,2023-05-16,122,No,Tablet
V00201,U0148,S259,2023-08-02,42,Yes,Tablet
V00202,U0133,S263,2023-12-31,145,No,Mobile
V00203,U0467,S243,2023-12-22,18,Yes,TV
V00204,U0122,S210,2023-10-14,38,No,Mobile
V00205,U0042,S268,2023-07-09,49,No,Mobile
V00206,U0384,S156,2023-07-10,85,No,Tablet
V00207,U0146,S216,2023-01-15,22,Yes,Laptop
V00208,U0188,S251,2023-05-26,10,Yes,Mobile
V00209,U0070,S023,2023-10-08,116,No,Tablet
V00210,U0580,S232,2023-10-21,96,No,Tablet
V00211,U0781,S071,2023-09-01,139,Yes,Tablet
V00212,U0153,S167,2023-08-19,32,No,Tablet
V00213,U0405,S174,2023-07-18,148,Yes,Mobile
V00214,U0754,S143,2023-12-10,175,No,Mobile
V00215,U0586,S159,2023-03-26,153,Yes,Mobile
V00216,U0198,S278,2023-11-26,157,Yes,Mobile
V00217,U0769,S244,2023-10-19,138,Yes,Mobile
V00218,U0020,S141,2023-03-03,62,Yes,TV
V00219,U0087,S274,2023-12-28,165,No,Laptop
V00220,U0504,S012,2023-07-25,97,Yes,Tablet
V00221,U0025,S271,2023-04-03,91,No,Tablet
V00222,U0118,S051,2023-05-12,148,Yes,TV
V00223,U0188,S131,2023-05-27,32,Yes,TV
V00224,U0695,S087,2023-06-07,25,No,Laptop
V00225,U0731,S030,2023-04-03,86,Yes,Tablet
V00226,U0146,S212,2023-02-20,92,No,Laptop
V00227,U0054,S104,2023-07-12,71,Yes,TV
V00228,U0118,S138,2023-09-10,25,No,Laptop
V00229,U0068,S248,2023-08-26,17,No,Tablet
V00230,U0020,S138,2023-11-21,151,Yes,Mobile
V00231,U0312,S291,2023-05-07,114,Yes,Tablet
V00232,U0146,S192,2023-02-12,148,Yes,TV
V00233,U0569,S232,2023-05-06,20,No,Mobile
V00234,U0669,S086,2023-08-26,10,No,Mobile
V00235,U0613,S129,2023-09-04,107,No,Laptop
V00236,U0600,S262,2023-11-20,82,Yes,Mobile
V00237,U0308,S046,2023-03-24,111,Yes,Mobile
V00238,U0443,S108,2023-03-13,166,No,Laptop
V00239,U0651,S134,2023-12-16,125,No,Laptop
V00240,U0350,S108,2023-05-06,127,No,Laptop
V00241,U0662,S002,2023-01-09,165,Yes,Tablet
V00242,U0689,S089,2023-01-03,115,Yes,Tablet
V00243,U0665,S040,2023-07-21,147,Yes,Mobile
V00244,U0689,S064,2023-12-10,100,No,Tablet
V00245,U0397,S091,2023-11-04,12,No,Mobile
V00246,U0198,S228,2023-08-25,12,No,TV
V00247,U0697,S184,2023-01-11,59,No,Mobile
V00248,U0736,S114,2023-11-11,69,No,Tablet
V00249,U0288,S253,2023-07-05,165,Yes,TV
V00250,U0654,S203,2023-01-04,38,Yes,Laptop
V00251,U0175,S283,2023-10-19,59,No,TV
V00252,U0764,S034,2023-02-03,42,Yes,Laptop
V00253,U0536,S141,2023-10-19,59,Yes,Mobile
V00254,U0698,S287,2023-12-21,126,No,Mobile
V00255,U0331,S222,2023-08-07,114,Yes,Laptop
V00256,U0508,S186,2023-03-04,142,No,Mobile
V00257,U0285,S216,2023-04-25,146,Yes,Tablet
V00258,U0402,S100,2023-06-11,95,Yes,Mobile
V00259,U0756,S116,2023-10-20,118,Yes,Mobile
V00260,U0169,S169,2023-05-08,89,Yes,Mobile
V00261,U0029,S246,2023-11-17,120,Yes,Mobile
V00262,U0257,S127,2023-10-31,37,No,Tablet
V00263,U0056,S171,2023-05-03,143,No,TV
V00264,U0783,S049,2023-02-07,170,No,Tablet
V00265,U0088,S032,2023-10-24,18,Yes,Tablet
V00266,U0131,S032,2023-06-10,123,Yes,Mobile
V00267,U0068,S053,2023-06-04,24,No,Mobile
V00268,U0412,S050,2023-05-31,168,No,Tablet
V00269,U0465,S197,2023-04-30,128,Yes,Tablet
V00270,U0348,S014,2023-11-14,126,Yes,Laptop
V00271,U0111,S053,2023-10-28,13,Yes,Mobile
V00272,U0587,S065,2023-10-31,173,Yes,Laptop
V00273,U0493,S228,2023-07-01,57,No,TV
V00274,U0062,S066,2023-03-12,89,Yes,Tablet
V00275,U0319,S299,2023-09-20,148,No,TV
V00276,U0317,S176,2023-03-17,84,No,Laptop
V00277,U0059,S122,2023-01-05,139,Yes,Mobile
V00278,U0201,S103,2023-08-05,173,No,TV
V00279,U0194,S244,2023-02-05,129,No,Laptop
V00280,U0631,S154,2023-10-24,117,No,Laptop
V00281,U0466,S022,2023-03-25,136,Yes,TV
V00282,U0710,S118,2023-01-02,129,Yes,TV
V00283,U0753,S170,2023-05-03,106,No,TV
V00284,U0007,S186,2023-07-24,12,Yes,Mobile
V00285,U0569,S059,2023-07-03,46,Yes,Laptop
V00286,U0647,S300,2023-08-14,102,Yes,Mobile
V00287,U0203,S146,2023-01-16,54,Yes,TV
V00288,U0348,S284,2023-05-15,72,Yes,TV
V00289,U0181,S135,2023-04-11,35,Yes,Mobile
V00290,U0389,S057,2023-12-13,96,Yes,TV
V00291,U0246,S190,2023-06-06,105,No,TV
V00292,U0729,S034,2023-09-27,40,No,TV
V00293,U0197,S273,2023-03-08,106,Yes,Laptop
V00294,U0652,S126,2023-06-12,21,No,TV
V00295,U0153,S168,2023-10-02,73,No,Mobile
V00296,U0130,S261,2023-11-19,159,No,Tablet
V00297,U0482,S034,2023-04-18,52,Yes,Tablet
V00298,U0511,S266,2023-11-27,128,No,TV
V00299,U0539,S248,2023-06-14,136,No,Tablet
V00300,U0654,S299,2023-05-18,176,No,Mobile
V00301,U0208,S232,2023-04-17,70,Yes,Tablet
V00302,U0436,S194,2023-04-22,156,No,TV
V00303,U0564,S044,2023-07-11,44,No,Mobile
V00304,U0532,S181,2023-06-01,68,No,Mobile
V00305,U0437,S231,2023-08-27,129,No,Tablet
V00306,U0510,S163,2023-07-29,79,No,Tablet
V00307,U0453,S120,2023-01-13,77,Yes,Mobile
V00308,U0302,S257,2023-07-03,141,Yes,Mobile
V00309,U0101,S061,2023-05-22,28,Yes,Laptop
V00310,U0342,S101,2023-01-20,94,Yes,Laptop
V00311,U0196,S071,2023-06-04,149,No,Laptop
V00312,U0289,S178,2023-01-05,113,No,Tablet
V00313,U0484,S263,2023-10-24,48,Yes,Tablet
V00314,U0741,S108,2023-04-27,131,Yes,TV
V00315,U0740,S237,2023-09-22,97,No,Mobile
V00316,U0440,S214,2023-06-10,63,Yes,Tablet
V00317,U0384,S072,2023-08-19,157,Yes,TV
V00318,U0512,S182,2023-06-06,96,Yes,TV
V00319,U0703,S207,2023-08-03,147,No,Laptop
V00320,U0582,S017,2023-06-16,45,Yes,TV
V00321,U0391,S105,2023-06-19,110,No,Mobile
V00322,U0193,S244,2023-10-01,37,No,Laptop
V00323,U0655,S156,2023-10-19,33,No,TV
V00324,U0033,S251,2023-02-23,16,Yes,TV
V00325,U0396,S146,2023-04-12,62,Yes,TV
V00326,U0466,S030,2023-05-30,104,Yes,Mobile
V00327,U0421,S201,2023-03-29,50,No,Mobile
V00328,U0490,S036,2023-03-08,109,No,TV
V00329,U0318,S222,2023-03-08,180,Yes,Tablet
V00330,U0602,S104,2023-03-23,138,No,Tablet
V00331,U0008,S074,2023-05-22,124,Yes,Mobile
V00332,U0539,S169,2023-07-24,155,Yes,Tablet
V00333,U0590,S021,2023-08-24,33,No,Laptop
V00334,U0356,S153,2023-11-27,110,No,TV
V00335,U0184,S222,2023-08-01,127,Yes,Tablet
V00336,U0716,S292,2023-12-04,34,Yes,Tablet
V00337,U0246,S081,2023-12-24,80,Yes,Laptop
V00338,U0715,S112,2023-12-08,136,Yes,Tablet
V00339,U0378,S040,2023-10-11,36,Yes,Laptop
V00340,U0169,S130,2023-07-29,63,No,Mobile
V00341,U0075,S237,2023-08-25,107,Yes,Laptop
V00342,U0407,S020,2023-07-24,12,Yes,Laptop
V00343,U0335,S238,2023-02-28,134,Yes,Tablet
V00344,U0562,S125,2023-02-04,122,Yes,TV
V00345,U0166,S088,2023-08-30,14,No,Mobile
V00346,U0128,S274,2023-04-01,110,No,TV
V00347,U0694,S140,2023-02-09,49,Yes,Tablet
V00348,U0222,S018,2023-07-03,146,Yes,TV
V00349,U0651,S268,2023-08-15,174,Yes,Mobile
V00350,U0455,S027,2023-07-19,163,No,Mobile
V00351,U0786,S104,2023-01-25,73,No,Laptop
V00352,U0094,S009,2023-05-03,117,Yes,Mobile
V00353,U0197,S033,2023-01-08,66,No,Mobile
V00354,U0742,S086,2023-12-07,21,Yes,Tablet
V00355,U0335,S166,2023-09-20,153,Yes,TV
V00356,U0555,S203,2023-11-16,119,Yes,Mobile
V00357,U0109,S183,2023-04-29,92,Yes,TV
V00358,U0670,S162,2023-01-08,13,No,Tablet
V00359,U0226,S034,2023-04-19,178,No,Laptop
V00360,U0045,S035,2023-11-29,65,No,Tablet
V00361,U0105,S275,2023-06-04,155,No,TV
V00362,U0615,S167,2023-05-09,171,Yes,Tablet
V00363,U0341,S090,2023-12-14,172,Yes,Laptop
V00364,U0070,S172,2023-12-08,14,No,Tablet
V00365,U0516,S007,2023-07-15,69,Yes,Mobile
V00366,U0317,S122,2023-11-12,119,Yes,TV
V00367,U0062,S071,2023-11-14,105,Yes,Tablet
V00368,U0156,S193,2023-06-01,62,Yes,Mobile
V00369,U0757,S169,2023-05-02,44,No,Laptop
V00370,U0534,S213,2023-06-12,175,Yes,Laptop
V00371,U0751,S170,2023-01-13,97,Yes,TV
V00372,U0681,S128,2023-04-16,66,Yes,Tablet
V00373,U0188,S227,2023-09-24,171,No,Mobile
V00374,U0072,S099,2023-02-03,23,No,TV
V00375,U0094,S089,2023-04-15,161,Yes,TV
V00376,U0437,S240,2023-05-01,89,Yes,TV
V00377,U0435,S091,2023-04-12,165,Yes,TV
V00378,U0591,S230,2023-06-05,172,No,TV
V00379,U0082,S185,2023-05-20,111,No,Tablet
V00380,U0452,S217,2023-03-27,139,No,Tablet
V00381,U0021,S196,2023-03-21,119,No,Mobile
V00382,U0567,S090,2023-06-03,75,Yes,Tablet
V00383,U0465,S146,2023-08-26,106,No,Tablet
V00384,U0140,S241,2023-02-06,60,No,TV
V00385,U0014,S257,2023-04-08,105,Yes,Tablet
V00386,U0405,S192,2023-07-27,108,No,Tablet
V00387,U0419,S020,2023-06-07,41,Yes,Tablet
V00388,U0199,S224,2023-10-17,75,Yes,Laptop
V00389,U0651,S189,2023-09-18,24,No,Tablet
V00390,U0249,S245,2023-08-06,18,Yes,Laptop
V00391,U0715,S076,2023-11-20,76,Yes,Tablet
V00392,U0261,S127,2023-12-15,164,Yes,TV
V00393,U0790,S048,2023-01-07,174,Yes,Tablet
V00394,U0531,S097,2023-07-23,118,Yes,TV
V00395,U0709,S155,2023-08-07,138,No,Tablet
V00396,U0752,S211,2023-10-28,32,No,Mobile
V00397,U0147,S138,2023-11-22,63,No,Tablet
V00398,U0007,S087,2023-12-24,135,No,Mobile
V00399,U0793,S214,2023-02-19,144,Yes,Tablet
V00400,U0751,S221,2023-12-02,53,No,TV
V00401,U0721,S069,2023-07-11,60,Yes,Tablet
V00402,U0462,S291,2023-04-04,64,Yes,TV
V00403,U0768,S094,2023-04-13,59,Yes,Laptop
V00404,U0642,S056,2023-07-29,172,No,TV
V00405,U0088,S194,2023-02-10,41,No,Laptop
V00406,U0031,S300,2023-02-02,70,No,Tablet
V00407,U0010,S032,2023-09-06,78,Yes,Mobile
V00408,U0100,S109,2023-12-07,143,Yes,Mobile
V00409,U0498,S243,2023-07-12,96,No,Tablet
V00410,U0699,S176,2023-06-22,90,No,TV
V00411,U0388,S030,2023-07-04,101,No,Laptop
V00412,U0468,S206,2023-02-21,45,Yes,Mobile
V00413,U0544,S144,2023-11-05,73,Yes,Laptop
V00414,U0528,S212,2023-08-20,179,No,TV
V00415,U0018,S185,2023-01-02,21,No,Laptop
V00416,U0240,S249,2023-12-14,112,No,Mobile
V00417,U0488,S052,2023-06-28,108,No,Laptop
V00418,U0730,S074,2023-11-07,143,Yes,Mobile
V00419,U0090,S155,2023-03-07,150,No,Tablet
V00420,U0119,S247,2023-03-28,179,No,TV
V00421,U0175,S046,2023-05-05,37,Yes,Tablet
V00422,U0335,S197,2023-01-15,81,Yes,TV
V00423,U0687,S064,2023-05-12,180,No,TV
V00424,U0093,S171,2023-10-01,67,No,Mobile
V00425,U0387,S196,2023-11-26,177,No,Tablet
V00426,U0266,S060,2023-04-30,84,Yes,Mobile
V00427,U0349,S097,2023-02-27,39,Yes,Laptop
V00428,U0390,S296,2023-03-07,10,No,Laptop
V00429,U0398,S217,2023-02-01,91,Yes,Laptop
V00430,U0533,S114,2023-12-14,37,Yes,Tablet
V00431,U0324,S075,2023-01-05,85,No,TV
V00432,U0151,S146,2023-09-13,47,No,Mobile
V00433,U0317,S258,2023-11-03,41,No,Laptop
V00434,U0647,S111,2023-12-28,136,No,Laptop
V00435,U0061,S171,2023-12-27,49,No,TV
V00436,U0795,S092,2023-04-26,134,Yes,Tablet
V00437,U0023,S281,2023-06-03,110,Yes,Laptop
V00438,U0357,S201,2023-08-05,110,No,Mobile
V00439,U0290,S100,2023-09-28,150,No,Tablet
V00440,U0332,S298,2023-02-19,23,Yes,Laptop
V00441,U0592,S071,2023-08-23,123,Yes,Tablet
V00442,U0215,S112,2023-05-30,60,Yes,Mobile
V00443,U0695,S076,2023-07-05,106,Yes,Tablet
V00444,U0058,S050,2023-12-14,101,Yes,Tablet
V00445,U0121,S264,2023-04-02,176,Yes,Laptop
V00446,U0153,S207,2023-10-31,72,No,Mobile
V00447,U0407,S251,2023-03-02,87,Yes,TV
V00448,U0795,S046,2023-12-01,128,No,Tablet
V00449,U0377,S006,2023-05-21,40,No,Mobile
V00450,U0501,S261,2023-02-12,67,Yes,Mobile
V00451,U0281,S049,2023-10-28,161,No,TV
V00452,U0661,S223,2023-07-16,86,No,TV
V00453,U0066,S276,2023-02-20,57,No,Tablet
V00454,U0404,S285,2023-12-25,147,Yes,Tablet
V00455,U0772,S107,2023-02-02,178,Yes,Mobile
V00456,U0006,S285,2023-04-03,124,Yes,Laptop
V00457,U0132,S295,2023-03-04,62,Yes,TV
V00458,U0772,S018,2023-02-14,31,No,Mobile
V00459,U0373,S279,2023-09-17,53,No,Tablet
V00460,U0255,S154,2023-12-03,21,Yes,Laptop
V00461,U0144,S296,2023-12-04,135,No,Laptop
V00462,U0621,S276,2023-09-25,140,No,TV
V00463,U0679,S023,2023-12-19,70,Yes,Mobile
V00464,U0307,S111,2023-04-07,44,Yes,TV
V00465,U0285,S066,2023-10-30,169,No,Tablet
V00466,U0267,S196,2023-02-08,176,No,TV
V00467,U0086,S131,2023-07-24,118,No,TV
V00468,U0073,S138,2023-10-02,172,Yes,TV
V00469,U0578,S262,2024-01-01,164,No,TV
V00470,U0324,S223,2023-08-03,107,Yes,Mobile
V00471,U0080,S139,2023-11-06,41,Yes,Mobile
V00472,U0068,S169,2023-12-17,173,No,Mobile
V00473,U0797,S140,2023-07-05,47,No,TV
V00474,U0101,S194,2023-05-21,66,Yes,Tablet
V00475,U0180,S270,2023-02-23,88,Yes,Tablet
V00476,U0718,S293,2023-02-18,82,No,Laptop
V00477,U0050,S088,2023-11-08,91,Yes,Tablet
V00478,U0760,S273,2023-04-03,151,No,Tablet
V00479,U0266,S005,2023-09-02,141,Yes,TV
V00480,U0147,S194,2023-12-03,155,Yes,Laptop
V00481,U0725,S128,2023-01-28,165,No,Tablet
V00482,U0188,S225,2023-12-28,100,No,Tablet
V00483,U0283,S220,2023-09-15,143,No,TV
V00484,U0313,S209,2023-06-06,90,Yes,Mobile
V00485,U0079,S123,2023-11-21,33,Yes,TV
V00486,U0087,S147,2023-10-22,151,Yes,Tablet
V00487,U0694,S261,2023-01-06,44,No,Tablet
V00488,U0416,S008,2023-09-12,167,Yes,TV
V00489,U0720,S274,2023-01-04,98,No,TV
V00490,U0622,S230,2023-12-05,53,Yes,TV
V00491,U0376,S069,2023-03-31,141,Yes,Laptop
V00492,U0508,S195,2023-01-27,53,No,Laptop
V00493,U0696,S128,2023-02-27,148,No,Mobile
V00494,U0495,S151,2023-05-29,77,No,TV
V00495,U0223,S157,2023-01-02,174,No,Mobile
V00496,U0059,S183,2023-08-26,11,No,Tablet
V00497,U0363,S055,2023-06-18,11,No,Laptop
V00498,U0364,S005,2023-04-06,35,No,Tablet
V00499,U0087,S271,2023-09-09,141,Yes,TV
V00500,U0500,S004,2023-07-30,49,Yes,Laptop
V00501,U0405,S192,2023-04-26,86,No,Laptop
V00502,U0550,S138,2023-08-08,37,Yes,Tablet
V00503,U0166,S072,2023-12-03,100,No,Tablet
V00504,U0727,S102,2023-01-03,38,No,TV
V00505,U0137,S203,2023-05-26,117,Yes,Laptop
V00506,U0683,S102,2023-01-17,132,Yes,Laptop
